id,a,b,c,d,e
E0017,3.00000,,4.50000,0.90000,0.90000
E0105,20.00000,,,,
E0144,3.65000,,,,
AL0193,27.81000,,,,
E0064,50.00000,,,,
E0020,1.00000,,,,
E0127,32.90000,,,,
A0068,5.10000,1.50000,,,
E0060,10.00000,,,,
E0073,0.00600,,,,
BX0209,115500.00000,,,,
IN0114,115500.00000,25750.00000,,,
E0029,,0.01500,,,
E0028,,600.00000,,,
E0003,,4.20000,,,
E0027,,9.90000,,,
E0008,,15.00000,,,
E0047,,600.00000,,,
MC0001,,25750.00000,,,
E0023,,15.00000,,,
BT0001,,25750.00000,,,
E0022,,3.00000,,,
E0021,,12.00000,,,
CR0001,,25750.00000,,,
BX0210,,25750.00000,,,
LB0036,,25750.00000,,,
E0103,,,6.16500,1.23300,1.23300
E0101,,,72.00000,14.40000,14.40000
AL0024,,,25.50000,20.02300,13.36000
A0029,,,90.00000,18.00000,2.25000
E0074,,,35.01000,7.00200,22.75200
E0078,,,9.00000,1.80000,1.80000
E0012,,,1.80000,0.36000,0.36000
E0072,,,0.90000,0.18000,0.18000
BX0033,,,34650.00000,,
IN0023,,,34650.00000,29040.00000,18150.00000
E0141,,,24.43370,4.88670,15.87880
E0236,,,10.47160,2.09430,6.80520
BX0032,,,,29040.00000,
BX0031,,,,,18150.00000
